[2023-08-10 14:08:35,943] Register - Step 01 : Navigate to register Page
[2023-08-12 22:25:46,143] My Account - Step 01: Navigate to 'My Account' Page
[2023-08-12 22:25:47,195] My Account - Step 02: Verify  'My Account' Page is displayed
[2023-08-12 22:25:47,259]  -------------------------- PASSED -------------------------- 
[2023-08-12 22:25:47,259] My Account - Step 03: Verify  'My Account' Page is displayed
[2023-08-12 22:25:47,322] My Account - Step 04: Verify  lastname is displayed correct
[2023-08-12 22:25:47,397] My Account - Step 05: Verify  email is displayed correct
[2023-08-12 22:26:39,380] Register - Step 01 : Navigate to register Page
[2023-08-12 22:27:00,835] Register - Step 01 : Navigate to Login Page
[2023-08-12 22:27:00,856] My Account - Step 01: Navigate to 'My Account' Page
[2023-08-12 22:42:33,127] Register - Step 01 : Navigate to register Page
[2023-08-12 22:43:13,973] Register - Step 01 : Navigate to Login Page
[2023-08-12 22:43:54,689] My Account - Step 01: Navigate to 'My Account' Page
